Date;Description;Emotion_result;Hours;Title;Type;color;Type_number
04/04/2023;Working on making the workshop protocol, as to make sure that the working of the protocol has been typed out.Came as far as the setup of the workshop;4;3;Working on the workshop protocol ;Analyzing;#eea638;5
02/03/2023;We together analyzed the results of the study we did the previous week. Each person had a different task of analyzation (like first reflection, timeline making, and second reflection). We summed up the conclusions in our Miro board.;4;3;Analyzing study data;Analyzing;#eea638;5
17/02/2023;Categorizing within benchmark  ;3;3;session benchmark;Analyzing;#eea638;5
28/02/2023;;3;3;discuss where do we apply 3D in design;Analyzing;#eea638;5
03/03/2023;go hands-on\nwhy do that?\nand How does it go beyond just shaping product?\nWhen do you need this;2;3;session reflection;Analyzing;#eea638;5
20/05/2023;We had a meeting about choosing a shape. We did some usertests and 1 shape was prased very highly. Shapes needed to be ranked based on a emotion they evoked. Negative emotions were minus points, positive emotions were plus points. Now the shape is defined;4;2;Choosing a shape;Analyzing;#eea638;5
11/05/2023;Looking into Analytic Induction in order to see if it works for the way we analyzed the workshop.;4;2;Researching Analytic Induction;Background Research;#d8854f;2
13/02/2023;find inspiration, desk research;4;2;squad topics in persona interest;Background Research;#d8854f;2
13/02/2023;find inspiration, desk research;3;2;squad topics in personal interest;Background Research;#d8854f;2
13/02/2023;find inspiration, desk research;5;2;squad topics in personal interest;Background Research;#d8854f;2
13/02/2023;find inspiration, desk research;4;2;squad topics in personal interest;Background Research;#d8854f;2
16/02/2023;make benchmark;2;3;looking for relevant projects;Background Research;#d8854f;2
16/02/2023;make benchmark;2;3;looking for relevant projects;Background Research;#d8854f;2
16/02/2023;make benchmark;3;3;looking for relevant projects;Background Research;#d8854f;2
16/02/2023;make benchmark;5;3;looking for relevant projects;Background Research;#d8854f;2
16/02/2023;make benchmark;5;3;looking for relevant projects;Background Research;#d8854f;2
10/05/2023;We worked on the benchmark cards in miro;3;3;Making the data cards;Brainstorm / Ideate;#de4c4f;3
14/04/2023;decide the topic AI for Creative Collaborations and explore in facilitating iterative collaboration;3;2;decide the topic;Brainstorm / Ideate;#de4c4f;3
27/02/2023;envisioning AI as collaborator in different modes;4;2;The worked out AI examples;Brainstorm / Ideate;#de4c4f;3
09/05/2023;We defined the MVP of our project. What are the minimal requirements and what are more 'nice to haves'. This was a n idea of Nick that we got in our last meeting with him.;4;2;MVP;Concept Definition;#65a96a;4
14/03/2023;define input & output;5;4;scoping the design concept;Concept Definition;#65a96a;4
16/05/2023;We defined the requirements of our visualization of the data we collect. We checked out some programs and made a plan of approach to do this, and with what program.;4;3;Visualization definition;Concept Development;#65a96a;4
17/03/2023;discuss the cocept;4;2;coach session;Concept Development;#65a96a;4
12/05/2023;Coach meeting with Mathias again, was very nice he was happy with what we did!;5;0.5;Coach meeting;Evaluating;#65a99d;9
25/04/2023;Pilot study of our workshop, with two participants;4;2;Pilot study;Evaluating;#65a99d;9
17/02/2023;What does collaboration mean?\nWhat role does a team member take;3;1;first coaching;Evaluating;#65a99d;9
25/04/2023;Reflecting on the pilot study we did and making some changes accordingly. Mostly in the Menti meter.;4;1;Reflecting on pilot study;Evaluating;#65a99d;9
